1744662588.156057 server started (2863): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1744662588.156071 on Linux 5.15.167.4-microsoft-standard-WSL2 #1 SMP Tue Nov 5 00:21:55 UTC 2024
1744662588.156075 using libevent 2.1.12-stable poll
1744662588.156077 using ncurses 6.4 20240113
1744662588.156114 input_key_build: 0x10e003 (PasteStart) is \033[200~
1744662588.156117 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1744662588.156119 input_key_build: 0x10e195 (F1) is \033OP
1744662588.156121 input_key_build: 0x10e196 (F2) is \033OQ
1744662588.156122 input_key_build: 0x10e197 (F3) is \033OR
1744662588.156124 input_key_build: 0x10e198 (F4) is \033OS
1744662588.156125 input_key_build: 0x10e199 (F5) is \033[15~
1744662588.156127 input_key_build: 0x10e19a (F6) is \033[17~
1744662588.156128 input_key_build: 0x10e19b (F7) is \033[18~
1744662588.156130 input_key_build: 0x10e19c (F8) is \033[19~
1744662588.156131 input_key_build: 0x10e19d (F9) is \033[20~
1744662588.156133 input_key_build: 0x10e19e (F10) is \033[21~
1744662588.156134 input_key_build: 0x10e19f (F11) is \033[23~
1744662588.156136 input_key_build: 0x10e1a0 (F12) is \033[24~
1744662588.156137 input_key_build: 0x10e1a1 (IC) is \033[2~
1744662588.156139 input_key_build: 0x10e1a2 (DC) is \033[3~
1744662588.156140 input_key_build: 0x10e1a3 (Home) is \033[1~
1744662588.156141 input_key_build: 0x10e1a4 (End) is \033[4~
1744662588.156143 input_key_build: 0x10e1a5 (NPage) is \033[6~
1744662588.156144 input_key_build: 0x10e1a6 (PPage) is \033[5~
1744662588.156146 input_key_build: 0x10e1a7 (BTab) is \033[Z
1744662588.156148 input_key_build: 0x10e1a8 (Up) is \033[A
1744662588.156149 input_key_build: 0x10e1a9 (Down) is \033[B
1744662588.156150 input_key_build: 0x10e1aa (Left) is \033[D
1744662588.156153 input_key_build: 0x10e1ab (Right) is \033[C
1744662588.156155 input_key_build: 0x10e1ac (KP/) is /
1744662588.156157 input_key_build: 0x10e1ad (KP*) is *
1744662588.156159 input_key_build: 0x10e1ae (KP-) is -
1744662588.156161 input_key_build: 0x10e1af (KP7) is 7
1744662588.156163 input_key_build: 0x10e1b0 (KP8) is 8
1744662588.156164 input_key_build: 0x10e1b1 (KP9) is 9
1744662588.156165 input_key_build: 0x10e1b2 (KP+) is +
1744662588.156167 input_key_build: 0x10e1b3 (KP4) is 4
1744662588.156168 input_key_build: 0x10e1b4 (KP5) is 5
1744662588.156169 input_key_build: 0x10e1b5 (KP6) is 6
1744662588.156171 input_key_build: 0x10e1b6 (KP1) is 1
1744662588.156172 input_key_build: 0x10e1b7 (KP2) is 2
1744662588.156174 input_key_build: 0x10e1b8 (KP3) is 3
1744662588.156175 input_key_build: 0x10e1b9 (KPEnter) is \n
1744662588.156177 input_key_build: 0x10e1ba (KP0) is 0
1744662588.156178 input_key_build: 0x10e1bb (KP.) is .
1744662588.156180 input_key_build: 0x200000000009 (C-Tab) is \t
1744662588.156181 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1744662588.156183 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1744662588.156185 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1744662588.156186 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1744662588.156188 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1744662588.156192 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1744662588.156194 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1744662588.156195 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1744662588.156197 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1744662588.156198 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1744662588.156200 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1744662588.156201 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1744662588.156203 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1744662588.156204 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1744662588.156206 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1744662588.156207 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1744662588.156209 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
